 6 120 823 0     2.853
 6 120 824 0     2.971
 7 120 8 1 0     2.724
 7 120 8 2 0     2.939
 7 120 8 3 0     2.063
 7 120 8 4 0     2.174
 7 120 8 5 0     1.958
 7 120 8 6 0     1.643
 7 120 8 7 0     2.232
 7 120 8 8 0     2.801
 7 120 8 9 0     2.994
 7 120 810 0     3.210
 7 120 811 0     3.711
 7 120 812 0     3.440
 7 120 813 0     3.277
 7 120 814 0     2.444
 7 120 815 0     2.161
 7 120 816 0     0.962
 7 120 817 0     0.842
 7 120 818 0     0.658
 7 120 819 0     0.350
 7 120 820 0     0.755
 7 120 821 0     1.368
 7 120 822 0     1.944
 7 120 823 0     2.098
 7 120 824 0     2.741
 8 120 8 1 0     3.227
 8 120 8 2 0     3.027
 8 120 8 3 0     2.419
 8 120 8 4 0     2.317
 8 120 8 5 0     2.092
 8 120 8 6 0     2.103
 8 120 8 7 0     1.911
 8 120 8 8 0     1.876
 8 120 8 9 0     2.625
 8 120 810 0     3.245
 8 120 811 0     3.564
 8 120 812 0     3.210
 8 120 813 0     3.556
 8 120 814 0     2.790
 8 120 815 0     2.173
 8 120 816 0     1.458
 8 120 817 0     1.275
 8 120 818 0     0.235
 8 120 819 0     0.467
 8 120 820 0     0.575
 8 120 821 0     1.061
 8 120 822 0     1.746
 8 120 823 0     2.224
 8 120 824 0     2.893
 9 120 8 1 0     3.027
 9 120 8 2 0     2.715
 9 120 8 3 0     2.730
 9 120 8 4 0     2.174
 9 120 8 5 0     1.886
 9 120 8 6 0     1.978
 9 120 8 7 0     1.710
 9 120 8 8 0     1.790
 9 120 8 9 0     2.365
 9 120 810 0     2.993
 9 120 811 0     3.474
 9 120 812 0     3.624
 9 120 813 0     3.317
 9 120 814 0     3.276
 9 120 815 0     2.771
 9 120 816 0     2.001
 9 120 817 0     1.570
 9 120 818 0     1.059
 9 120 819 0     0.142
 9 120 820 0     0.450
 9 120 821 0     0.587
 9 120 822 0     1.258
 9 120 823 0     1.810
 9 120 824 0     2.520
10 120 8 1 0     3.069
10 120 8 2 0     2.916
10 120 8 3 0     3.317
10 120 8 4 0     2.508
10 120 8 5 0     1.942
10 120 8 6 0     1.843
10 120 8 7 0     1.542
10 120 8 8 0     1.427
10 120 8 9 0     2.075
10 120 810 0     2.318
10 120 811 0     2.673
10 120 812 0     2.925
10 120 813 0     3.415
10 120 814 0     3.699
10 120 815 0     3.307
10 120 816 0     2.622
10 120 817 0     2.124
10 120 818 0     1.218
10 120 819 0     0.477
10 120 820 0     0.448
10 120 821 0     0.458
10 120 822 0     1.223
10 120 823 0     1.395
10 120 824 0     2.312
11 120 8 1 0     2.923
11 120 8 2 0     3.160
11 120 8 3 0     2.809
11 120 8 4 0     2.921
11 120 8 5 0     2.673
11 120 8 6 0     1.855
11 120 8 7 0     1.730
11 120 8 8 0     1.794
11 120 8 9 0     1.646
11 120 810 0     2.057
11 120 811 0     2.572
11 120 812 0     2.661
11 120 813 0     3.303
11 120 814 0     3.535
11 120 815 0     3.450
11 120 816 0     3.174
11 120 817 0     2.369
11 120 818 0     1.820
11 120 819 0     1.119
11 120 820 0     0.250
11 120 821 0     0.586
11 120 822 0     1.030
11 120 823 0     1.263
11 120 824 0     1.814
12 120 8 1 0     2.872
12 120 8 2 0     2.788
12 120 8 3 0     3.394
12 120 8 4 0     3.488
12 120 8 5 0     2.672
12 120 8 6 0     2.286
12 120 8 7 0     1.645
12 120 8 8 0     1.377
12 120 8 9 0     1.256
12 120 810 0     1.611
12 120 811 0     1.909
12 120 812 0     2.107
12 120 813 0     2.769
12 120 814 0     2.910
12 120 815 0     2.971
12 120 816 0     3.048
12 120 817 0     2.744
12 120 818 0     1.794
12 120 819 0     1.462
12 120 820 0     1.254
12 120 821 0     0.366
12 120 822 0     0.840
12 120 823 0     1.277
12 120 824 0     1.686
13 120 8 1 0     2.105
