7/21/2021,36:51.2,19.422,6.206,1.11,7.8
7/21/2021,36:51.2,19.424,6.207,1.12,7.8
7/21/2021,36:51.3,19.424,6.207,1.13,7.8
7/21/2021,36:51.3,19.424,6.206,1.11,7.8
7/21/2021,36:51.3,19.424,6.205,1.1,7.8
7/21/2021,36:51.4,19.424,6.203,1.11,7.8
7/21/2021,36:51.4,19.425,6.2,1.13,7.8
7/21/2021,36:51.5,19.423,6.199,1.13,7.8
7/21/2021,36:51.5,19.423,6.199,1.15,7.8
7/21/2021,36:51.5,19.423,6.197,1.16,7.8
7/21/2021,36:51.6,19.424,6.196,1.17,7.8
7/21/2021,36:51.6,19.424,6.196,1.2,7.8
7/21/2021,36:51.7,19.424,6.195,1.22,7.8
7/21/2021,36:51.7,19.425,6.195,1.22,7.8
7/21/2021,36:51.8,19.425,6.196,1.23,7.8
7/21/2021,36:51.8,19.425,6.196,1.23,7.8
7/21/2021,36:51.8,19.427,6.196,1.24,7.8
7/21/2021,36:51.9,19.43,6.197,1.25,7.8
7/21/2021,36:51.9,19.432,6.196,1.27,7.8
7/21/2021,36:51.9,19.432,6.196,1.28,7.8
7/21/2021,36:52.0,19.432,6.197,1.29,7.8
7/21/2021,36:52.0,19.432,6.196,1.29,7.8
7/21/2021,36:52.1,19.431,6.196,1.28,7.8
7/21/2021,36:52.1,19.431,6.196,1.28,7.8
7/21/2021,36:52.1,19.431,6.195,1.28,7.8
7/21/2021,36:52.2,19.433,6.194,1.29,7.8
7/21/2021,36:52.2,19.435,6.194,1.28,7.8
7/21/2021,36:52.3,19.438,6.192,1.29,7.8
7/21/2021,36:52.3,19.443,6.192,1.29,7.8
7/21/2021,36:52.3,19.449,6.191,1.3,7.8
7/21/2021,36:52.4,19.462,6.188,1.33,7.8
7/21/2021,36:52.4,19.479,6.183,1.35,7.8
7/21/2021,36:52.5,19.502,6.176,1.35,7.8
7/21/2021,36:52.5,19.528,6.167,1.36,7.8
7/21/2021,36:52.5,19.572,6.143,1.39,7.8
7/21/2021,36:52.6,19.65,6.106,1.4,7.8
7/21/2021,36:52.6,19.739,6.044,1.41,7.8
7/21/2021,36:52.7,19.849,5.951,1.42,7.8
7/21/2021,36:52.7,19.97,5.855,1.44,7.8
7/21/2021,36:52.7,20.097,5.768,1.45,7.8
7/21/2021,36:52.8,20.218,5.693,1.46,7.8
7/21/2021,36:52.8,20.311,5.636,1.48,7.8
7/21/2021,36:52.9,20.456,5.569,1.49,7.8
7/21/2021,36:52.9,20.494,5.545,1.5,7.8
7/21/2021,36:52.9,20.518,5.526,1.51,7.8
7/21/2021,36:53.0,20.532,5.515,1.52,7.8
7/21/2021,36:53.0,20.542,5.502,1.52,7.8
7/21/2021,36:53.1,20.547,5.477,1.54,7.8
7/21/2021,36:53.1,20.549,5.444,1.55,7.8
7/21/2021,36:53.1,20.555,5.417,1.57,7.8
7/21/2021,36:53.2,20.565,5.403,1.58,7.8
7/21/2021,36:53.2,20.567,5.401,1.56,7.8
7/21/2021,36:53.3,20.553,5.406,1.57,7.8
7/21/2021,36:53.3,20.53,5.428,1.58,7.8
7/21/2021,36:53.3,20.503,5.472,1.58,7.8
7/21/2021,36:53.4,20.447,5.522,1.58,7.8
7/21/2021,36:53.4,20.384,5.566,1.59,7.8
7/21/2021,36:53.5,20.272,5.663,1.59,7.8
7/21/2021,36:53.5,20.231,5.709,1.58,7.8
7/21/2021,36:53.5,20.198,5.749,1.59,7.8
7/21/2021,36:53.6,20.195,5.771,1.6,7.82
7/21/2021,36:53.6,20.204,5.772,1.58,7.8
7/21/2021,36:53.7,20.221,5.754,1.58,7.8
7/21/2021,36:53.7,20.248,5.713,1.59,7.8
7/21/2021,36:53.7,20.281,5.64,1.6,7.8
7/21/2021,36:53.8,20.322,5.549,1.62,7.8
7/21/2021,36:53.8,20.37,5.505,1.64,7.8
7/21/2021,36:53.9,20.43,5.486,1.65,7.8
7/21/2021,36:53.9,20.503,5.463,1.67,7.8
7/21/2021,36:53.9,20.607,5.429,1.69,7.8
7/21/2021,36:54.0,20.74,5.343,1.7,7.8
7/21/2021,36:54.0,20.894,5.23,1.72,7.8
7/21/2021,36:54.0,21.048,5.134,1.71,7.8
7/21/2021,36:54.1,21.338,4.989,1.73,7.8
7/21/2021,36:54.1,21.439,4.937,1.77,7.8
7/21/2021,36:54.2,21.497,4.893,1.77,7.8
7/21/2021,36:54.2,21.516,4.868,1.79,7.8
7/21/2021,36:54.3,21.515,4.911,1.8,7.8
7/21/2021,36:54.3,21.502,5.01,1.78,7.8
7/21/2021,36:54.3,21.476,5.086,1.77,7.8
7/21/2021,36:54.4,21.442,5.114,1.77,7.8
7/21/2021,36:54.4,21.411,5.114,1.78,7.8
7/21/2021,36:54.5,21.392,5.104,1.78,7.8
7/21/2021,36:54.5,21.383,5.095,1.78,7.8
7/21/2021,36:54.5,21.38,5.082,1.77,7.8
7/21/2021,36:54.6,21.389,5.069,1.76,7.8
7/21/2021,36:54.6,21.412,5.06,1.76,7.8
7/21/2021,36:54.6,21.44,5.054,1.75,7.8
7/21/2021,36:54.7,21.461,5.044,1.75,7.8
7/21/2021,36:54.7,21.483,5.029,1.75,7.8
7/21/2021,36:54.8,21.497,5.017,1.75,7.8
7/21/2021,36:54.8,21.507,4.991,1.75,7.8
7/21/2021,36:54.9,21.506,4.981,1.76,7.8
7/21/2021,36:54.9,21.506,4.979,1.76,7.8
7/21/2021,36:54.9,21.511,4.978,1.76,7.8
7/21/2021,36:55.0,21.524,4.941,1.78,7.8
7/21/2021,36:55.0,21.548,4.856,1.81,7.8
7/21/2021,36:55.0,21.579,4.774,1.85,7.8
7/21/2021,36:55.1,21.622,4.678,1.87,7.8
7/21/2021,36:55.1,21.675,4.556,1.88,7.8
7/21/2021,36:55.2,21.727,4.439,1.9,7.8
7/21/2021,36:55.2,21.774,4.337,1.92,7.8
7/21/2021,36:55.2,21.819,4.246,1.94,7.8
7/21/2021,36:55.3,21.893,4.074,1.95,7.8
7/21/2021,36:55.3,21.893,4.074,1.95,7.8
7/21/2021,36:55.4,21.925,3.993,1.96,7.8
7/21/2021,36:55.4,21.97,3.854,1.96,7.8
7/21/2021,36:55.4,21.977,3.923,1.98,7.8
7/21/2021,36:55.5,21.975,4.098,1.98,7.8
7/21/2021,36:55.5,21.966,4.228,1.98,7.8
7/21/2021,36:55.6,21.945,4.276,1.97,7.8
7/21/2021,36:55.6,21.923,4.278,1.97,7.8
7/21/2021,36:55.6,21.908,4.264,1.98,7.8
7/21/2021,36:55.7,21.904,4.249,1.98,7.8
7/21/2021,36:55.7,21.907,4.244,1.98,7.8
7/21/2021,36:55.8,21.92,4.232,1.98,7.8
7/21/2021,36:55.8,21.944,4.208,1.98,7.8
7/21/2021,36:55.8,21.974,4.175,1.98,7.8
7/21/2021,36:55.9,22.002,4.11,1.98,7.8
7/21/2021,36:55.9,22.028,4.029,1.99,7.8
7/21/2021,36:56.0,22.047,3.968,1.99,7.8
7/21/2021,36:56.0,22.057,3.925,1.98,7.8
7/21/2021,36:56.0,22.06,3.899,1.97,7.8
7/21/2021,36:56.1,22.06,3.902,1.98,7.8
7/21/2021,36:56.1,22.071,3.93,2.01,7.8
7/21/2021,36:56.2,22.096,3.92,2.04,7.8
7/21/2021,36:56.2,22.142,3.882,2.04,7.8
7/21/2021,36:56.2,22.212,3.714,2.04,7.8
7/21/2021,36:56.3,22.301,3.359,2.06,7.8
7/21/2021,36:56.3,22.397,2.993,2.09,7.8
7/21/2021,36:56.4,22.49,2.735,2.09,7.8
7/21/2021,36:56.4,22.572,2.556,2.11,7.8
7/21/2021,36:56.4,22.637,2.412,2.13,7.8
7/21/2021,36:56.5,22.682,2.286,2.16,7.8
7/21/2021,36:56.5,22.711,2.192,2.16,7.8
7/21/2021,36:56.6,22.728,2.123,2.16,7.8
7/21/2021,36:56.6,22.742,2.064,2.16,7.8
7/21/2021,36:56.6,22.761,2.028,2.18,7.8
7/21/2021,36:56.7,22.764,2.156,2.19,7.8
7/21/2021,36:56.7,22.764,2.306,2.18,7.8
7/21/2021,36:56.8,22.762,2.388,2.18,7.8
7/21/2021,36:56.8,22.758,2.403,2.2,7.8
7/21/2021,36:56.8,22.752,2.368,2.19,7.8
7/21/2021,36:56.9,22.747,2.308,2.19,7.8
7/21/2021,36:56.9,22.745,2.245,2.18,7.8
7/21/2021,36:57.0,22.743,2.201,2.18,7.8
7/21/2021,36:57.0,22.745,2.166,2.18,7.8
7/21/2021,36:57.0,22.749,2.115,2.17,7.8
7/21/2021,36:57.1,22.757,2.09,2.18,7.8
7/21/2021,36:57.1,22.761,2.094,2.16,7.8
7/21/2021,36:57.2,22.765,2.058,2.16,7.8
7/21/2021,36:57.2,22.769,2.03,2.16,7.8
7/21/2021,36:57.3,22.772,2.026,2.18,7.8
7/21/2021,36:57.3,22.777,2.03,2.18,7.8
7/21/2021,36:57.3,22.783,2.038,2.18,7.8
7/21/2021,36:57.4,22.788,2.044,2.17,7.8
7/21/2021,36:57.4,22.794,2.037,2.18,7.8
7/21/2021,36:57.4,22.799,2.012,2.19,7.8
7/21/2021,36:57.5,22.803,1.983,2.21,7.8
7/21/2021,36:57.5,22.806,1.952,2.23,7.8
7/21/2021,36:57.6,22.802,1.915,2.23,7.8
7/21/2021,36:57.6,22.799,1.863,2.26,7.8
7/21/2021,36:57.7,22.796,1.817,2.25,7.8
7/21/2021,36:57.7,22.792,1.802,2.26,7.8
7/21/2021,36:57.7,22.789,1.753,2.28,7.8
7/21/2021,36:57.8,22.788,1.681,2.3,7.8
7/21/2021,36:57.8,22.79,1.628,2.32,7.8
7/21/2021,36:57.9,22.792,1.59,2.32,7.8
7/21/2021,36:57.9,22.793,1.56,2.33,7.8
7/21/2021,36:57.9,22.796,1.536,2.34,7.8
7/21/2021,36:58.0,22.8,1.517,2.36,7.8
7/21/2021,36:58.0,22.805,1.502,2.36,7.8
7/21/2021,36:58.1,22.809,1.494,2.36,7.8
7/21/2021,36:58.1,22.813,1.523,2.36,7.8
7/21/2021,36:58.1,22.816,1.578,2.37,7.8
7/21/2021,36:58.2,22.817,1.607,2.37,7.8
7/21/2021,36:58.2,22.816,1.61,2.36,7.8
7/21/2021,36:58.3,22.813,1.602,2.36,7.8
7/21/2021,36:58.3,22.806,1.576,2.36,7.8
7/21/2021,36:58.3,22.806,1.57,2.36,7.8
7/21/2021,36:58.4,22.806,1.569,2.37,7.8
7/21/2021,36:58.4,22.808,1.57,2.37,7.8
7/21/2021,36:58.5,22.809,1.571,2.37,7.8
7/21/2021,36:58.5,22.81,1.573,2.37,7.8
7/21/2021,36:58.5,22.812,1.569,2.37,7.8
7/21/2021,36:58.6,22.813,1.555,2.38,7.8
7/21/2021,36:58.6,22.813,1.54,2.38,7.8
7/21/2021,36:58.6,22.814,1.532,2.38,7.8
7/21/2021,36:58.7,22.814,1.523,2.39,7.8
7/21/2021,36:58.7,22.813,1.509,2.38,7.8
7/21/2021,36:58.8,22.809,1.5,2.38,7.8
7/21/2021,36:58.8,22.806,1.5,2.39,7.8
7/21/2021,36:58.8,22.802,1.503,2.4,7.8
7/21/2021,36:58.9,22.797,1.506,2.41,7.8
7/21/2021,36:58.9,22.791,1.506,2.42,7.8
7/21/2021,36:59.0,22.792,1.507,2.42,7.8
7/21/2021,36:59.0,22.794,1.512,2.41,7.8
7/21/2021,36:59.0,22.797,1.515,2.44,7.8
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
